RatingBlock,Image,Race,Trait,Type,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,EndText.started,EndText.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
TrialCondition_B.csv,Images/S_B_I4_01.png,Black,Submissive,normal,0,0,0,1,0,16,16,6,,,,,,,64.023948749993,None,26.222222222222225,0.9747452920128126,64.32294754197937,None,64.32294754197937,None,-0.04111111111111111,-0.4,1,0,0,NextBu,0.30906290453276597,None,64.32294754197937,None,64.32294754197937,None,1.0411081739132135,65.57307029198273,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I5_02.png,Black,Submissive,normal,0,0,0,1,0,17,17,9,,,,,,,66.62343974999385,None,61.66666666666667,0.7412519579811487,66.9229093749891,None,66.9229093749891,None,0.0077777777777777776,-0.41888888888888887,1,0,0,NextBu,0.3104745714808814,None,66.9229093749891,None,66.9229093749891,None,1.1606761922145488,67.82279979198938,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I5_03.png,Black,Dominant,normal,0,0,0,1,0,18,18,18,,,,,,,68.98982983297901,None,61.111111111111114,2.14255487502669,69.29041037498973,None,69.29041037498973,None,0.03,-0.42,1,0,0,NextBu,0.31121427851030603,None,69.29041037498973,None,69.29041037498973,None,1.440689763530139,71.62335170799633,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I2_03.png,Black,Dominant,normal,0,0,0,1,0,19,19,12,,,,,,,73.0729562919878,None,55.111111111111114,0.7923427499772515,73.37347808299819,None,73.37347808299819,None,-0.01,-0.38333333333333336,1,0,0,NextBu,0.31243511245702393,None,73.37347808299819,None,73.37347808299819,None,1.2244280625950563,74.3562937079987,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I3_01.png,Black,Submissive,normal,0,0,0,1,0,20,20,20,,,,,,,75.59362920798594,None,48.55555555555556,1.2537773750082124,75.88937191700097,None,75.88937191700097,None,-0.034444444444444444,-0.4011111111111111,1,0,0,NextBu,0.3022124455019366,None,75.88937191700097,None,75.88937191700097,None,1.0900391443469077,77.33945887497975,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I1_04.png,Black,Dominant,normal,0,0,0,1,0,21,21,11,,,,,,,78.44216212499305,None,34.77777777777777,1.2392770000151359,78.73959924999508,None,78.73959924999508,None,-0.012222222222222223,-0.4122222222222222,1,0,0,NextBu,0.3057576545397751,None,78.73959924999508,None,78.73959924999508,None,1.3881047291241053,80.25637658298365,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I4_02.png,Black,Submissive,normal,0,0,0,1,0,22,22,7,,,,,,,81.65704633298446,None,67.0,1.258112165989587,81.95631970799877,None,81.95631970799877,None,0.023333333333333334,-0.37444444444444447,1,0,0,NextBu,0.31038761147647165,None,81.95631970799877,None,81.95631970799877,None,0.5535293851062788,83.42322470800718,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I2_01.png,Black,Submissive,normal,0,0,0,1,0,23,23,2,,,,,,,83.99023341698921,None,35.55555555555556,3.275543750001816,84.28973666697857,None,84.28973666697857,None,-0.015555555555555555,-0.4022222222222222,1,0,0,NextBu,0.3098474874859676,None,84.28973666697857,None,84.28973666697857,None,0.7318404465308207,87.75685554198571,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_C.csv,Images/S_C_I2_03.png,Caucasian,Dominant,normal,0,1,1,2,0,0,0,2,,,,,,,88.49972895800602,None,24.444444444444446,2.132478416984668,88.79080575000262,None,88.79080575000262,None,-0.027777777777777776,-0.3844444444444444,1,0,0,NextBu,0.30952497498947196,None,88.79080575000262,None,88.79080575000262,None,1.0603358127804374,91.22228066698881,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
