RatingBlock,Image,Gender,AgeGroup,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,EndText.started,EndText.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
TrialCondition_B.xslx,images/midA-M-ver5.jpg,,midadult,0,0,0,1,0,9,9,12,,,,,,,43.88361729198368,None,48.22222222222222,0.9563327499781735,44.18123137499788,None,44.18123137499788,None,-0.016666666666666666,-0.37555555555555553,1,0,0,NextBu,0.3065074750047643,None,44.18123137499788,None,44.18123137499788,None,0.6874075317120598,45.31403945898637,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/adl-F-ver5.jpg,,adolescent,0,0,0,1,0,10,10,6,,,,,,,46.01535854200483,None,37.33333333333333,1.5415548339951783,46.314954874978866,None,46.314954874978866,None,0.0044444444444444444,-0.3811111111111111,1,0,0,NextBu,0.30996709200553596,None,46.314954874978866,None,46.314954874978866,None,0.691263388409011,48.181195791985374,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/adl-M-ver2.jpg,,adolescent,0,0,0,1,0,11,11,4,,,,,,,48.88138879198232,None,64.55555555555556,1.0444318329973612,49.16538487499929,None,49.16538487499929,None,0.0,-0.4033333333333333,1,0,0,NextBu,0.29975763300899416,None,49.16538487499929,None,49.16538487499929,None,1.0124760496146636,50.48165008399519,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/chld-F-ver3.jpg,,child,0,0,0,1,0,12,12,3,,,,,,,51.505821583996294,None,81.44444444444446,0.9840246250096243,51.79786554200109,None,51.79786554200109,None,-0.01,-0.4122222222222222,1,0,0,NextBu,0.31186543198418804,None,51.79786554200109,None,51.79786554200109,None,1.2461527802445707,53.06379795898101,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/sA-M-ver7.jpg,,senioradult,0,0,0,1,0,13,13,17,,,,,,,54.33405533398036,None,24.555555555555557,6.472985000000335,54.631623083987506,None,54.631623083987506,None,-0.027777777777777776,-0.3888888888888889,1,0,0,NextBu,0.30687380899325944,None,54.631623083987506,None,54.631623083987506,None,1.3583121868400074,62.2981719590025,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/adl-M-ver3.jpg,,adolescent,0,0,0,1,0,14,14,5,,,,,,,63.665252042002976,None,57.44444444444444,1.2762062920082826,63.965647749981144,None,63.965647749981144,None,0.0044444444444444444,-0.4066666666666667,1,0,0,NextBu,0.3145477999933064,None,63.965647749981144,None,63.965647749981144,None,0.5223316646825527,70.31463995898957,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/chld-M-ver3.jpg,,child,0,0,0,1,0,15,15,1,,,,,,,70.85294016698026,None,60.111111111111114,1.270495208009379,71.1486266249849,None,71.1486266249849,None,0.03222222222222222,-0.3933333333333333,1,0,0,NextBu,0.30139684202731587,None,71.1486266249849,None,71.1486266249849,None,1.4006857660915788,72.81494524999289,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/sA-F-ver1.jpg,,senioradult,0,0,0,1,0,16,16,18,,,,,,,74.2350052089896,None,49.111111111111114,1.5717035830020905,74.53209024999524,None,74.53209024999524,None,0.042222222222222223,-0.4122222222222222,1,0,0,NextBu,0.3049111420114059,None,74.53209024999524,None,74.53209024999524,None,0.5571507385014752,85.01493383399793,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/chld-M-ver2.jpg,,child,0,0,0,1,0,17,17,0,,,,,,,85.58763779199217,None,55.333333333333336,2.235631833988009,85.86498295899946,None,85.86498295899946,None,0.04,-0.43333333333333335,1,0,0,NextBu,0.31583714301814325,None,85.86498295899946,None,85.86498295899946,None,1.3614818772804826,88.53159383399179,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/midA-M-ver6.jpg,,midadult,0,0,0,1,0,18,18,13,,,,,,,89.91276562499115,None,84.11111111111111,1.194076915999176,90.19873966698651,None,90.19873966698651,None,0.021111111111111112,-0.4166666666666667,1,0,0,NextBu,0.2996043499733787,None,90.19873966698651,None,90.19873966698651,None,1.3424408584270338,93.11521829199046,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/yA-M-ver5.jpg,,youngadult,0,0,0,1,0,19,19,8,,,,,,,94.47037841699785,None,49.888888888888886,2.421500583004672,94.76555516698863,None,94.76555516698863,None,0.0033333333333333335,-0.3711111111111111,1,0,0,NextBu,0.3014400919782929,None,94.76555516698863,None,94.76555516698863,None,1.1755011527478738,97.71571962500457,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/sA-F-ver7.jpg,,senioradult,0,1,1,0,0,0,0,19,,,,,,,98.92135512499954,None,40.33333333333333,0.9194946660136338,99.21477783398586,None,99.21477783398586,None,-0.04555555555555556,-0.37,1,0,0,NextBu,0.31497119201230817,None,99.21477783398586,None,99.21477783398586,None,1.2709090684705144,100.43181454198202,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/chld-F-ver2.jpg,,child,0,1,1,0,0,1,1,2,,,,,,,101.72514883399708,None,55.44444444444444,0.8486459580017254,102.01640545899863,None,102.01640545899863,None,-0.0033333333333333335,-0.37777777777777777,1,0,0,NextBu,0.3089594739722088,None,102.01640545899863,None,102.01640545899863,None,1.1725544800610335,103.11464841698762,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/chld-M-ver2.jpg,,child,0,1,1,0,0,2,2,0,,,,,,,104.30326512499596,None,85.66666666666667,1.4880596660077572,104.59899837500416,None,104.59899837500416,None,0.01888888888888889,-0.4122222222222222,0,0,0,NextBu,0.3025251740182284,None,104.59899837500416,None,104.59899837500416,None,0.5987065547657987,108.26527025000541,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
